Total blocs: 46
DM Sans | 400 | dm-sans-400.woff2 | 36 KB
DM Sans | 500 | dm-sans-500.woff2 | 36 KB
DM Sans | 600 | dm-sans-600.woff2 | 36 KB
DM Sans | 700 | dm-sans-700.woff2 | 36 KB
JetBrains Mono | 400 | jetbrains-mono-400.woff2 | 31 KB
JetBrains Mono | 500 | jetbrains-mono-500.woff2 | 31 KB
JetBrains Mono | 700 | jetbrains-mono-700.woff2 | 31 KB
Plus Jakarta Sans | 400 | plus-jakarta-sans-400.woff2 | 27 KB
Plus Jakarta Sans | 500 | plus-jakarta-sans-500.woff2 | 27 KB
Plus Jakarta Sans | 600 | plus-jakarta-sans-600.woff2 | 27 KB
Plus Jakarta Sans | 700 | plus-jakarta-sans-700.woff2 | 27 KB
Plus Jakarta Sans | 800 | plus-jakarta-sans-800.woff2 | 27 KB
